pair,split,layer,be_mode,config_id,date,window_h,direction,leg_tag,side,entry_bar_idx,exit_bar_idx,entry_px,exit_px,exit_reason,filled,pips_net,lots,skip_reason
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-01,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-01,24,?,sar,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-01,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-01,12,?,sar,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-01,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-01,8,?,sar,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-02,24,BUY,main,BUY,103368,103408,122.868,122.45272029968493,SL,True,-87.05594006301362,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-02,24,BUY,sar,SELL,103409,103409,122.45272029968493,122.53897029968493,SL,True,-7.437500000000477,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-02,12,SELL,main,SELL,103380,103480,123.017,123.43227970031506,SL,True,-87.05594006301362,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-02,12,SELL,sar,BUY,103481,103481,123.43227970031506,123.34602970031506,SL,True,-7.437500000000477,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-02,8,SELL,main,SELL,103376,103537,123.169,123.58427970031507,SL,True,-87.05594006301362,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-02,8,SELL,sar,BUY,103538,103545,123.58427970031507,123.49802970031507,SL,True,-7.437499999999482,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-03,24,BUY,main,BUY,103392,103410,122.831,122.41449027827886,SL,True,-87.30194434422822,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-03,24,BUY,sar,SELL,103411,103417,122.41449027827886,122.63074027827886,SL,True,-16.53750000000016,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-03,12,BUY,main,BUY,103404,103408,122.858,122.44149027827886,SL,True,-87.30194434422822,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-03,12,BUY,sar,SELL,103409,103417,122.44149027827886,122.65774027827887,SL,True,-16.53750000000016,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-03,8,SELL,main,SELL,103400,103540,123.26,123.67650972172115,SL,True,-87.30194434422822,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-03,8,SELL,sar,BUY,103541,103545,123.67650972172115,123.46025972172114,SL,True,-16.53750000000016,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-04,24,BUY,main,BUY,103416,103455,122.544,122.11931240125894,SL,True,-88.9375197482118,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-04,24,BUY,sar,SELL,103456,103456,122.11931240125894,122.38481240125894,SL,True,-19.98500000000021,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-04,12,BUY,main,BUY,103428,103446,122.649,122.22431240125894,SL,True,-88.9375197482118,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-04,12,BUY,sar,SELL,103447,103449,122.22431240125894,122.48981240125894,SL,True,-19.98500000000021,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-04,8,SELL,main,SELL,103424,103480,122.925,123.34968759874106,SL,True,-88.9375197482118,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-04,8,SELL,sar,BUY,103481,103546,123.34968759874106,123.08418759874105,SL,True,-19.98500000000021,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-05,24,SELL,main,SELL,103440,103480,122.956,123.37313848454528,SL,True,-87.42769690905527,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-05,24,SELL,sar,BUY,103481,103482,123.37313848454528,123.21363848454527,SL,True,-12.565000000000586,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-05,12,BUY,main,BUY,103452,103598,122.426,122.00886151545473,SL,True,-87.42769690905527,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-05,12,BUY,sar,SELL,103599,103599,122.00886151545473,122.16836151545473,SL,True,-12.565000000000586,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-05,8,BUY,main,BUY,103448,103455,122.441,122.02386151545473,SL,True,-87.42769690905527,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-05,8,BUY,sar,SELL,103456,103456,122.02386151545473,122.18336151545472,SL,True,-12.564999999999593,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-06,24,BUY,main,BUY,103464,103600,122.311,121.88790712149368,SL,True,-88.61857570126483,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-06,24,BUY,sar,SELL,103601,103601,121.88790712149368,122.13815712149369,SL,True,-18.91750000000058,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-06,12,SELL,main,SELL,103476,103480,122.808,123.23109287850633,SL,True,-88.61857570126483,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-06,12,SELL,sar,BUY,103481,103547,123.23109287850633,122.98084287850634,SL,True,-18.91749999999959,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-06,8,SELL,main,SELL,103472,103536,123.058,123.48109287850633,SL,True,-88.61857570126483,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-06,8,SELL,sar,BUY,103537,103545,123.48109287850633,123.23084287850634,SL,True,-18.91749999999959,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-07,24,SELL,main,SELL,103488,103537,123.163,123.59912195861301,SL,True,-91.22439172260295,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-07,24,SELL,sar,BUY,103538,103545,123.59912195861301,123.29637195861301,SL,True,-22.59250000000022,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-07,12,SELL,main,SELL,103500,103537,123.163,123.59912195861301,SL,True,-91.22439172260295,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-07,12,SELL,sar,BUY,103538,103545,123.59912195861301,123.29637195861301,SL,True,-22.59250000000022,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-07,8,SELL,main,SELL,103496,103537,123.163,123.59912195861301,SL,True,-91.22439172260295,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-07,8,SELL,sar,BUY,103538,103545,123.59912195861301,123.29637195861301,SL,True,-22.59250000000022,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-08,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-08,24,?,sar,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-08,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-08,12,?,sar,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-08,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-08,8,?,sar,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-09,24,SELL,main,SELL,103536,103600,123.358,121.81610997947757,TP,True,304.3780041044861,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-09,24,SELL,sar,BUY,-1,-1,,,NO_FILL,False,0.0,0.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-09,12,BUY,main,BUY,103548,103550,122.877,122.49152749486939,SL,True,-81.09450102612152,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-09,12,BUY,sar,SELL,103551,103551,122.49152749486939,122.55752749486939,SL,True,-6.0200000000001745,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-09,8,SELL,main,SELL,103544,103576,123.703,122.16110997947757,TP,True,304.3780041044861,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-09,8,SELL,sar,BUY,-1,-1,,,NO_FILL,False,0.0,0.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-10,24,BUY,main,BUY,103560,103563,122.785,122.37645410237872,SL,True,-85.70917952425611,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-10,24,BUY,sar,SELL,103564,103567,122.37645410237872,122.73070410237871,SL,True,-26.19749999999953,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-10,12,BUY,main,BUY,103572,103576,122.643,122.23445410237872,SL,True,-85.70917952425611,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-10,12,BUY,sar,SELL,103577,103586,122.23445410237872,122.58870410237871,SL,True,-26.19749999999953,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-10,8,BUY,main,BUY,103568,103575,122.761,122.35245410237872,SL,True,-85.70917952425611,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-10,8,BUY,sar,SELL,103576,103710,122.35245410237872,120.93545410237873,TP,True,97.78999999999911,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-11,24,BUY,main,BUY,103584,103600,122.269,121.85992166649453,SL,True,-85.81566670109532,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-11,24,BUY,sar,SELL,103601,103601,121.85992166649453,122.06792166649453,SL,True,-15.959999999999885,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-11,12,BUY,main,BUY,103596,103600,122.281,121.87192166649453,SL,True,-85.81566670109532,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-11,12,BUY,sar,SELL,103601,103601,121.87192166649453,122.07992166649453,SL,True,-15.959999999999885,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-11,8,SELL,main,SELL,103592,103710,122.535,120.8986866659781,TP,True,323.26266680437845,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-11,8,SELL,sar,BUY,-1,-1,,,NO_FILL,False,0.0,0.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-12,24,SELL,main,SELL,103608,103646,121.937,122.36603702396937,SL,True,-89.8074047938743,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-12,24,SELL,sar,BUY,103647,103649,122.36603702396937,122.02178702396937,SL,True,-25.497500000000166,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-12,12,BUY,main,BUY,103620,103702,121.745,121.31596297603063,SL,True,-89.8074047938743,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-12,12,BUY,sar,SELL,103703,103703,121.31596297603063,121.66021297603064,SL,True,-25.497500000000166,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-12,8,BUY,main,BUY,103616,103709,121.514,121.08496297603062,SL,True,-89.8074047938743,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-12,8,BUY,sar,SELL,103710,103772,121.08496297603062,121.42921297603063,SL,True,-25.497500000000166,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-13,24,SELL,main,SELL,103632,103645,121.739,122.16785580797156,SL,True,-89.7711615943117,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-13,24,SELL,sar,BUY,103646,103650,122.16785580797156,121.95460580797156,SL,True,-16.32750000000015,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-13,12,SELL,main,SELL,103644,103792,122.075,122.50385580797156,SL,True,-89.7711615943117,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-13,12,SELL,sar,BUY,103793,103819,122.50385580797156,122.29060580797156,SL,True,-16.32750000000015,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-13,8,SELL,main,SELL,103640,103646,121.94,122.36885580797156,SL,True,-89.7711615943117,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-13,8,SELL,sar,BUY,103647,103648,122.36885580797156,122.15560580797155,SL,True,-16.32750000000015,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-14,24,BUY,main,BUY,103656,103702,121.84,121.41416960688356,SL,True,-89.1660786232884,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-14,24,BUY,sar,SELL,103703,103703,121.41416960688356,121.60741960688355,SL,True,-14.927499999999432,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-14,12,BUY,main,BUY,103668,103702,121.84,121.41416960688356,SL,True,-89.1660786232884,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-14,12,BUY,sar,SELL,103703,103703,121.41416960688356,121.60741960688355,SL,True,-14.927499999999432,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-14,8,BUY,main,BUY,103664,103702,121.84,121.41416960688356,SL,True,-89.1660786232884,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-14,8,BUY,sar,SELL,103703,103703,121.41416960688356,121.60741960688355,SL,True,-14.927499999999432,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-15,24,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-15,24,?,sar,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-15,12,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-15,12,?,sar,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-15,8,?,main,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-15,8,?,sar,N/A,-1,-1,,,SKIP,False,0.0,0.0,skip_frac
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-16,24,BUY,main,BUY,103704,103710,121.391,121.0016156304251,SL,True,-81.87687391497968,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-16,24,BUY,sar,SELL,103711,103713,121.0016156304251,121.15711563042511,SL,True,-12.285000000000245,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-16,12,BUY,main,BUY,103716,103789,120.874,122.43153747829957,TP,True,307.5074956599159,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-16,12,BUY,sar,SELL,-1,-1,,,NO_FILL,False,0.0,0.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-16,8,BUY,main,BUY,103712,103734,121.074,120.6846156304251,SL,True,-81.87687391497968,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-16,8,BUY,sar,SELL,103735,103735,120.6846156304251,120.8401156304251,SL,True,-12.285000000000245,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-17,24,BUY,main,BUY,103728,103736,121.037,120.6437859425376,SL,True,-82.64281149248029,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-17,24,BUY,sar,SELL,103737,103739,120.6437859425376,120.86528594253761,SL,True,-16.90500000000042,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-17,12,BUY,main,BUY,103740,103747,121.058,120.6647859425376,SL,True,-82.64281149248029,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-17,12,BUY,sar,SELL,103748,103753,120.6647859425376,120.88628594253761,SL,True,-16.90500000000042,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-17,8,BUY,main,BUY,103736,103784,120.711,122.2838562298496,TP,True,310.57124596992116,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-17,8,BUY,sar,SELL,-1,-1,,,NO_FILL,False,0.0,0.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-18,24,BUY,main,BUY,103752,103784,120.756,122.3392236420032,TP,True,312.64472840064093,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-18,24,BUY,sar,SELL,-1,-1,,,NO_FILL,False,0.0,0.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-18,12,SELL,main,SELL,103764,103772,121.147,121.5428059105008,SL,True,-83.16118210015952,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-18,12,SELL,sar,BUY,103773,103789,121.5428059105008,122.4018059105008,TP,True,58.72999999999961,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-18,8,SELL,main,SELL,103760,103772,121.013,121.4088059105008,SL,True,-83.16118210015952,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-18,8,SELL,sar,BUY,103773,103784,121.4088059105008,122.2678059105008,TP,True,58.72999999999961,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-19,24,SELL,main,SELL,103776,103784,121.92,122.33792691689361,SL,True,-87.58538337872119,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-19,24,SELL,sar,BUY,103785,103789,122.33792691689361,121.98517691689361,SL,True,-26.092500000000022,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-19,12,SELL,main,SELL,103788,103793,122.175,122.5929269168936,SL,True,-87.58538337872119,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-19,12,SELL,sar,BUY,103794,103871,122.5929269168936,122.2401769168936,SL,True,-26.092500000000022,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-19,8,SELL,main,SELL,103784,103793,122.197,122.61492691689361,SL,True,-87.58538337872119,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-19,8,SELL,sar,BUY,103794,103871,122.61492691689361,122.26217691689361,SL,True,-26.092500000000022,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-20,24,SELL,main,SELL,103800,103816,122.513,122.93536070854407,SL,True,-88.47214170881239,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-20,24,SELL,sar,BUY,103817,103817,122.93536070854407,122.69536070854407,SL,True,-18.199999999999637,0.7,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-20,12,SELL,main,SELL,103812,103976,122.615,123.03736070854406,SL,True,-88.47214170881239,2.0,
eurjpy,adjust,L3,N/A,w24|slm1.00|smf0.50|TP_ATR_2.0|sf0.30|stp1.00|ssl0.25,2017-01-20,12,SELL,sar,BUY,103977,103978,123.03736070854406,122.79736070854406,SL,True,-18.199999999999637,0.7,
