side,bucket,indicator_bucket,trades,positive_trades,avg_positive_pips,median_positive_pips,positive_rate,avg_all_pips,pivot_first_rate,indicator
BUY,00-05%,ATR_Q5,58,46.0,3.8413043478262807,2.7666666666666515,0.7931034482758621,-0.4504597701147573,0.9310344827586207,atr_bucket
BUY,00-05%,ATR_Q4,49,32.0,2.3895833333337677,1.8666666666666174,0.6530612244897959,-1.50030612244868,0.9183673469387755,atr_bucket
BUY,00-05%,ATR_Q2,39,22.0,2.099999999999622,1.7999999999991587,0.5641025641025641,-2.803418803419204,0.8974358974358975,atr_bucket
BUY,00-05%,ATR_Q3,33,24.0,1.9361111111112355,1.9499999999984539,0.7272727272727273,-0.24838383838364866,0.9696969696969697,atr_bucket
BUY,00-05%,ATR_Q1,36,18.0,1.1796296296296684,1.0166666666682431,0.5,-0.4935185185185607,0.9722222222222222,atr_bucket
BUY,05-10%,ATR_Q5,39,30.0,10.305555555555552,10.083333333333911,0.7692307692307693,-7.22282051282074,0.7692307692307693,atr_bucket
BUY,05-10%,ATR_Q4,45,39.0,6.351282051282172,6.099999999999795,0.8666666666666667,-1.6965185185183662,0.8666666666666667,atr_bucket
BUY,05-10%,ATR_Q3,51,43.0,6.146511627906697,5.999999999999318,0.8431372549019608,-1.1369281045754178,0.8431372549019608,atr_bucket
BUY,05-10%,ATR_Q2,38,31.0,5.173118279569678,4.333333333334167,0.8157894736842105,-1.2202192982456697,0.8157894736842105,atr_bucket
BUY,10-15%,ATR_Q5,56,47.0,22.032624113475297,18.666666666668675,0.8392857142857143,7.156160714285881,0.8392857142857143,atr_bucket
BUY,10-15%,ATR_Q4,54,37.0,12.214414414414394,12.83333333333212,0.6851851851851852,-8.773672839506094,0.6851851851851852,atr_bucket
BUY,10-15%,ATR_Q3,54,38.0,12.046491228070067,11.933333333332087,0.7037037037037037,-1.0541358024692753,0.7037037037037037,atr_bucket
BUY,10-15%,ATR_Q2,42,28.0,9.533333333333365,10.366666666667413,0.6666666666666666,-3.440079365079196,0.6666666666666666,atr_bucket
BUY,15-20%,ATR_Q5,73,45.0,27.20666666666657,28.633333333335088,0.6164383561643836,-14.4023744292238,0.6164383561643836,atr_bucket
BUY,15-20%,ATR_Q4,72,49.0,21.89659863945539,19.333333333331893,0.6805555555555556,-2.1974305555559495,0.6805555555555556,atr_bucket
BUY,15-20%,ATR_Q3,56,35.0,18.63142857142795,16.333333333334622,0.625,-4.611875000000252,0.625,atr_bucket
BUY,15-20%,ATR_Q2,36,24.0,13.597222222222209,14.000000000000568,0.6666666666666666,-3.3447222222222543,0.6666666666666666,atr_bucket
BUY,20-25%,ATR_Q5,87,45.0,47.64370370370367,43.56666666666678,0.5172413793103449,-3.733026819923443,0.5172413793103449,atr_bucket
BUY,20-25%,ATR_Q4,61,41.0,29.750406504065236,30.03333333333325,0.6721311475409836,5.218606557377195,0.6721311475409836,atr_bucket
BUY,20-25%,ATR_Q3,59,32.0,26.85104166666659,23.63333333333253,0.5423728813559322,-2.4464406779660184,0.5423728813559322,atr_bucket
BUY,20-25%,ATR_Q2,43,18.0,20.312962962962544,20.566666666664958,0.4186046511627907,-13.831046511628221,0.4186046511627907,atr_bucket
BUY,25-30%,ATR_Q5,60,26.0,54.574358974359015,49.0,0.43333333333333335,-5.751277777777717,0.43333333333333335,atr_bucket
BUY,25-30%,ATR_Q4,56,25.0,36.70533333333333,36.000000000000455,0.44642857142857145,-6.2387500000000795,0.44642857142857145,atr_bucket
BUY,25-30%,ATR_Q3,31,17.0,28.18431372549017,28.399999999998272,0.5483870967741935,0.41715053763460314,0.5483870967741935,atr_bucket
BUY,25-30%,ATR_Q2,34,22.0,26.248484848485205,26.48333333333477,0.6470588235294118,6.321323529412178,0.6470588235294118,atr_bucket
SELL,00-05%,ATR_Q5,63,46.0,3.7036231884057145,3.3333333333336554,0.7301587301587301,-7.2005291005292404,0.8888888888888888,atr_bucket
SELL,00-05%,ATR_Q4,59,33.0,2.6060606060602978,2.133333333332189,0.559322033898305,-3.2830790960453333,0.9152542372881356,atr_bucket
SELL,00-05%,ATR_Q3,47,38.0,2.0017543859652713,1.5166666666663673,0.8085106382978723,1.5106382978725665,1.0,atr_bucket
SELL,00-05%,ATR_Q2,37,23.0,1.7144927536234011,1.2666666666665949,0.6216216216216216,-1.01891891891851,0.9459459459459459,atr_bucket
SELL,05-10%,ATR_Q5,65,58.0,9.718390804597753,9.266666666666424,0.8923076923076924,2.1357692307692386,0.8923076923076924,atr_bucket
SELL,05-10%,ATR_Q4,57,46.0,7.537681159420514,7.3666666666672995,0.8070175438596491,-3.33538011695883,0.8070175438596491,atr_bucket
SELL,05-10%,ATR_Q2,42,32.0,5.547916666667053,5.416666666666515,0.7619047619047619,-5.788928571428352,0.7619047619047619,atr_bucket
SELL,05-10%,ATR_Q3,42,36.0,5.231481481481262,4.6999999999995055,0.8571428571428571,-1.8526190476192683,0.8571428571428571,atr_bucket
SELL,05-10%,ATR_Q1,31,26.0,3.8141025641027224,2.8166666666668903,0.8387096774193549,-1.171505376344187,0.8387096774193549,atr_bucket
SELL,10-15%,ATR_Q5,65,56.0,20.17619047619014,16.250000000001364,0.8615384615384616,9.214641025640784,0.8615384615384616,atr_bucket
SELL,10-15%,ATR_Q4,59,46.0,12.302898550724537,12.116666666667243,0.7796610169491526,-1.9606214689265529,0.7796610169491526,atr_bucket
SELL,10-15%,ATR_Q3,35,30.0,8.734444444444582,8.04999999999987,0.8571428571428571,1.3620952380952076,0.8571428571428571,atr_bucket
SELL,10-15%,ATR_Q2,64,53.0,7.9415094339621914,7.666666666667311,0.828125,0.21143229166671418,0.828125,atr_bucket
